row_long,DUP_ID,kingdom,phylum,class,order,family,genus,species,site,replicate_ltr,replicate_num,count,date
88,OTU_22671,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia,Euconchoecia chierchiae,MR,b,NA,3,2015-04-01
89,OTU_25662,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,b,NA,3,2015-04-01
90,OTU_27111,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,MR,b,NA,2,2015-04-01
91,OTU_32375,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,2,2015-04-01
92,OTU_32566,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,3,2015-04-01
93,OTU_36313,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,,MR,b,NA,4,2015-04-01
94,OTU_51375,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,2,2015-04-01
95,OTU_51376,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,1,2015-04-01
96,OTU_59109,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,,MR,b,NA,2,2015-04-01
97,OTU_62777,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,,MR,b,NA,2,2015-04-01
98,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,c,NA,69,2015-04-01
99,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,c,NA,1920,2015-04-01
100,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,c,NA,185,2015-04-01
101,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,c,NA,72,2015-04-01
102,OTU_29,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,c,NA,559,2015-04-01
103,OTU_45,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris,MR,c,NA,2,2015-04-01
104,OTU_76,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta enflata,MR,c,NA,2,2015-04-01
105,OTU_110,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanidae,Undinula,Undinula vulgaris,MR,c,NA,1,2015-04-01
106,OTU_186,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,c,NA,128,2015-04-01
107,OTU_250,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,c,NA,2,2015-04-01
108,OTU_366,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,c,NA,22,2015-04-01
109,OTU_741,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,c,NA,21,2015-04-01
110,OTU_809,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,,MR,c,NA,4,2015-04-01
111,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,c,NA,6,2015-04-01
